Entrez_Gene_Id	1105234	2f2e5477-42a4-4906-a943-bf7f80	5a84eae1-197e-4463-ad65-59becc	93e30fd5-e57e-4503-a175-863c7d	9f905736-f662-41d6-b3ac-16758d	C3L-00001-02	C3L-00009-01	C3L-00080-01	C3L-00083-01	C3L-00093-01	C3L-00094-03	C3L-00095-01	C3L-00140-02	C3L-00144-01	C3L-00263-05	C3L-00279-02	C3L-00368-01	C3L-00412-01	C3L-00422-01	C3L-00444-08	C3L-00446-01	C3L-00510-02	C3L-00604-01	C3L-00893-02	C3L-00913-03	C3L-00973-03	C3L-01330-01	C3L-01632-02	C3L-01682-01	C3L-01683-02	C3L-01862-01	C3L-01889-01	C3L-01890-02	C3L-01924-05	C3L-02129-01	C3L-02165-01	C3L-02169-01	C3L-02219-01	C3L-02345-02	C3L-02348-02	C3L-02350-02	C3L-02365-01	C3L-02508-02	C3L-02513-03	C3L-02515-03	C3L-02549-02	C3L-02559-01	C3L-02560-02	C3L-02601-01	C3L-02616-05	C3L-02643-01	C3L-02654-02	C3L-02661-01	C3L-02834-03	C3L-02893-02	C3L-02954-01	C3L-02957-02	C3L-02958-01	C3L-02961-01	C3L-02967-01	C3L-03262-03	C3L-03268-01	C3L-03271-02	C3L-03462-01	C3L-03463-01	C3L-03642-01	C3L-03679-01	C3L-03717-01	C3L-03721-01	C3L-03726-03	C3L-03969-03	C3L-03976-05	C3L-03984-05	C3L-03985-04	C3L-04031-05	C3L-04033-01	C3L-04037-04	C3L-04040-02	C3L-04365-02	C3L-04757-03	C3L-04759-02	C3N-00167-02	C3N-00169-03	C3N-00175-02	C3N-00180-02	C3N-00199-02	C3N-00203-03	C3N-00217-02	C3N-00217-04	C3N-00223-01	C3N-00293-04	C3N-00294-02	C3N-00433-03	C3N-00545-01	C3N-00545-03	C3N-00546-01	C3N-00547-01	C3N-00549-03	C3N-00550-02	C3N-00551-04	C3N-00552-02	C3N-00556-03	C3N-00559-01	C3N-00560-02	C3N-00572-04	C3N-00574-01	C3N-00578-04	C3N-00579-02	C3N-00580-03	C3N-00704-01	C3N-00737-01	C3N-00738-01	C3N-00959-02	C3N-01016-02	C3N-01019-03	C3N-01021-01	C3N-01022-02	C3N-01023-04	C3N-01024-03	C3N-01030-03	C3N-01071-03	C3N-01072-02	C3N-01074-01	C3N-01405-01	C3N-01408-02	C3N-01409-04	C3N-01410-02	C3N-01413-01	C3N-01414-04	C3N-01416-03	C3N-01417-04	C3N-01419-03	C3N-01488-03	C3N-01489-02	C3N-01799-02	C3N-01823-02	C3N-01842-01	C3N-02000-01	C3N-02002-03	C3N-02003-02	C3N-02067-02	C3N-02087-01	C3N-02088-04	C3N-02089-03	C3N-02090-03	C3N-02141-04	C3N-02142-03	C3N-02143-03	C3N-02144-02	C3N-02145-03	C3N-02146-04	C3N-02149-02	C3N-02150-04	C3N-02152-04	C3N-02153-02	C3N-02155-03	C3N-02158-04	C3N-02192-01	C3N-02193-05	C3N-02230-01	C3N-02234-01	C3N-02237-03	C3N-02240-03	C3N-02242-04	C3N-02281-02	C3N-02290-01	C3N-02379-01	C3N-02380-02	C3N-02421-02	C3N-02422-02	C3N-02423-01	C3N-02424-02	C3N-02433-01	C3N-02451-03	C3N-02529-02	C3N-02572-02	C3N-02582-01	C3N-02586-02	C3N-02587-01	C3N-02588-02	C3N-02672-02	C3N-02715-02	C3N-02718-03	C3N-02721-03	C3N-02728-03	C3N-02729-02	C3N-02757-02	C3N-02758-01	C3N-02764-03	C3N-02828-01	C3N-02916-03	C3N-02919-02	C3N-02920-03	C3N-02922-04	C3N-02923-04	C3N-02926-02	C3N-02928-02	C3N-02929-02	C3N-02948-01	C3N-02950-02	C3N-02973-01	C3N-03038-02	C3N-03052-01	C3N-03054-01	C3N-03057-02	C3N-03063-02	C3N-03073-02	C3N-03074-02	C3N-03080-02	C3N-03202-01	C3N-03205-01	C3N-03210-02	C3N-03212-01	C3N-03222-01	C3N-03225-01	C3N-03233-03	C3N-03238-01	C3N-03420-02	C3N-03764-02	C3N-03765-07	C3N-03890-01	C3N-03911-01	C3N-03921-02	C3N-03929-01	C3N-04157-02	C3N-04168-01	C3N-04173-01	C3N-04176-07	C3N-04180-01	C3N-04382-02	SM-JU332	SM-JU33E
106479294	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	-1	0	0	-1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	-1	0	-1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	-1	0	1	1	-1	0	1	-1	0	1	0	0	0	0	1	0	0	0	1	-1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	-1	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	-1	1	1
106479295	-1	-1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	-1	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	1	0	0	0	0	-1	0	-1	1	0	-1	0	-1	-2	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	-1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	-1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	-1	1	1	0	1	-1	0	0	0	0	0	0	0	1	0	1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	1	-1	0	0	0	-1	1	0	0	0	1	1	0	-1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	-1	-1	0	0	1	0	0	-1	1	-1	-1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	-1	-1	0	0	1	0	0	1	0	-1	-1	1	-1	1	0	0	0	0	0	0	0	0	-1	-1	1	-1	0	0
106479296	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	-1	1	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	-1	0	0	1	1	0	0	1	1	0	2	0	0	0	0	1	0	1	1	1	1	1	2	2	0	0	0	0	0	0	1	2	1	1	1	0	1	1	2	0	1	-1	1	2	1	0	0	0	1	1	1	0	0	1	1	0	1	1	1	0	1	2	0	1	0	2	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	-1	0	0	0	1	0	0	1	1	1	0	1	2	0	0	0	0	-1	2	0	0	1	0	0	0	1	-1	1	1	1	1	0	1	1	0	0	0	1	0	-1	2	2	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	0	0	0	1	0	1	0	2	0	1	1	-1	0	0	1	1	0	0	0	-1	1	-1	1	1
106479297	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	-1	0	0	1	1	1	1	0	0	0	1	0	0	-1	0	1	0	0	-1	1	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	-1	0	1	1	0	0	0	1	-1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
106479298	0	0	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	-1	0	0	2	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	-1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	-1	0	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0	-1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1
106479299	0	0	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	2	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	-1	0	0	1	1	0	0	0	0	1	0	-1	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	-1	0	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	-1	0	0	1	0	0	0	1	0	1	-1	1	0	1	1	0	0	0	0	0	0	0	0	-1	1	1	1	1
106479300	-1	0	1	-1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	-1	0	0	0	1	0	0	0	0	1	0	0	1	1	-1	-1	-1	1	0	0	0	1	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	-1	-1	-1	1	0	0	-1	1	0	0	0	0	0	1	0	-1	0	-1	1	0	0	1	0	0	0	0	1	0	-1	-1	1	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	-1	0	1	-1	-1	1	-1	-1	0	0	0	0	0	-1	1	-1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	-1	0	0	0	0	-1	1	0	0	-1	1	0	1	1	0	0	0	-1	1	0	0	0	-1	1	-1	1	1
106479301	-1	0	0	0	1	0	-1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	-1	-1	0	0	-1	0	0	0	0	1	0	0	0	-1	0	-1	-1	0	0	1	0	0	0	0	1	-1	0	1	0	-1	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	-1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	-1	-1	0	1	1	0	-1	0	0	0	1	0	0	0	1	1	1	1	-1	1	-1	0	0	0	0	-1	1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	-1	1	0	0	0	1	0	0	-1	0	0	0	0	0	-1	1	0	0	0	1	-1	1	0	-1	-1	0	0	1	0	0	-1	0	-1	1	1	1	1	0	0	0	0	0	1	1	-1	0	1	1	0	1	0	-1	-1	0	0	0	0	0	0	0	0	-1	1	-1	1	1	0	0	0	0	0	0	0	0	-1	0	-1	1	0
106479302	-1	0	0	0	1	1	-1	1	0	0	1	0	1	0	0	0	1	0	2	2	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	2	1	1	-1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	0	-1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	2	0	1	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	-1	0	1	1	0	0	0	1	0	1	2	1	1	0	-1	0	0	0	1	1	0	0	1	1	0	1	0	0	-1	0	1	-1	0	0	1	1	1	1	1	-1	2	0	0	0	0	1	0	1	0	0	1	1	0	0	0
106479303	0	0	1	-1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	-1	1	1	1	0	0	1	0	1	0	-1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	-1	0	1	0	0	-1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	1	0	0	1	0	0	0	1	1	-1	0	0	0	1	1	-1	0	1	1	-1	0	1	-1	0	0	-1	-1	0	0	1	0	0	0	1	-1	0	1	1	1	0	0	0	0	0	1	0	-1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	-1	1	1
106479304	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	-1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	-1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	-1	-1	0	1	0	1	0	0	1	0	1	1	1	2	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	-1	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1
106479305	0	0	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	-1	1	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-1	0	1	0	0	0	2	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	2	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	-1	1	1	1	1	-1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	-1	0	0	0	1	1	0	0	0	0	1	-1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	1	-1	1	0	-1	-1	0	1	1	0	0	0	1	-1	1	1	1	1	0	0	0	0	0	1	1	-1	0	0	1	0	1	0	-1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	-1	0	1	1	1
106479306	1	0	2	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	0	2	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	2	1	1	1	1	1	2	1	1	1	0	0	1	0	0	0	1	2	1	1	1	0	1	1	1	0	0	0	1	2	1	1	0	0	1	1	-1	0	1	1	2	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	2	2	1	0	1	1	1	0	1	0	1	1	1	0	2	0	0	0	1	1	1	1	0	-1	0	1	1	0	0	0	1	0	1	1	2	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	2	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1
106479307	-1	-1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	-1	0	0	1	0	-1	0	0	0	0	0	1	0	0	0	-1	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	1	1	1	0	0	-1	1	1	0	-1	-1	0	1	0	0	0	0	1	0	-1	0	0	1	0	0	0	0	0	0	-1	0	1	0	-1	2	-1	-1	-1	0	0	1	0	0	-1	0	0	1	1	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	-1	1	-2	-1	-1	1	1	0	0	0	1	-1	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	-1	0	1	0	0	-1	1	0	0	-1	1	-1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0
106479308	0	0	2	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	-2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	2	1	1	1	0	0	0	0	0	0	1	1	1	1	1	-1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	-1	1	1	0	0	1	1	1	0	0	0	1	1	1	-1	1	0	0	0	1	1	0	1	0	-1	0	0	1	0	0	1	2	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	-1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1
106479309	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	-1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	2	0	0	1	0	0	1	1	0	0	1	1	-1	0	1	1	1	0	-1	1	0	1	1	1	2	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	-1	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1
106479310	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	-1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	-1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	-1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	-1	0	1	0	-1	1	0	-1	0	0	1	0	0	-1	1	0	1	1	1	2	0	0	0	0	0	2	1	0	0	1	1	0	1	0	0	-1	0	1	1	0	-1	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	-1	0	0	1	1
106479311	0	0	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	2	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	2	1	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	0	0	2	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	1	-1	-1	0	1	1	0	0	0	1	-1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	-1	1	0	1	0	1	0	2	1	0	0	0	1	0	0	0	0	0	1	-1	1	1
106479312	0	0	1	-1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	1	0	0	1	0	0	-1	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	-1	1	1	1	0	0	0	0	1	0	-1	0	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	-1	0	1	0	0	-1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	-1	0	-1	0	1	0	0	1	0	0	0	1	1	-1	0	0	0	1	1	-1	0	1	1	-1	0	1	-1	0	1	-1	-1	0	0	1	0	0	0	1	-1	0	1	1	1	0	1	0	0	0	1	0	-1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	-1	1	1
106479313	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	-1	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	-2	0	0	0	0	0	-1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	2	-1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	2	1	1	1	0	1	1	1	0	0	0	1	2	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	-1	1	2	0	1	0	2	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	-1	1	0	-1	1	0	0	1	1	1	1	1	2	0	0	0	0	-1	1	0	0	1	0	0	0	1	-1	1	1	0	1	0	1	1	0	0	0	1	0	-1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	-1	-1	1	0	0	0	1	0	1	0	2	0	1	0	-1	0	0	1	1	0	0	0	-1	1	-1	1	1
106479314	0	0	1	0	1	1	0	-1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	-1	0	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	-1	0	0	1	1	1	0	0	0	0	1	0	0	-1	2	1	-1	1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	1	0	1	1	0	0	0	0	-1	0	0	0	1	1	0	0	1	0	0	1	0	-1	0	1	1	0	0	0	1	-1	1	1	1	1	0	-1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	-1	0	0	0	0	0	0	0	0	0	1	-1	0	1
106479315	-1	0	1	-1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	-1	0	1	0	-1	0	0	-2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	-1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	-1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	-1	0	0	1	1	0	1	-1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	1	1	1	0	1	1	0	0	1	0	-1	1	1	0	1	1	-1	0	1	0	0	1	-1	-1	0	0	1	0	0	-1	0	-1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	-1	1	1	-1	0	0	0	0	0	1	0	1	0	0	-1	1	-1	0	0
106479316	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	1	0	2	0	1	1	0	1	0	0	1	1	1	1	0	2	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	2	1	1	2	2	1	2	0	2	2	0	0	1	0	0	0	1	2	1	1	1	0	1	1	1	0	0	0	1	2	2	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	2	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	-1	2	2	1	0	1	1	1	0	1	0	1	1	1	1	2	0	1	0	1	1	1	1	0	-1	0	1	1	0	0	0	1	0	1	1	2	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	2	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1
106479318	0	1	1	1	1	1	0	-1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	-1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	-1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	2	1	0	0	1	1	0	0	-1	1	1	1	0	0	0	0	1	0	0	0	1	0	-1	1	0	0	0	1	1	1	0	0	2	0	1	0	0	-1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	-1	1	1	0	1	1	0	0	1	0	1	1	0	-1	0	1	1	0	0	0	1	0	1	1	2	1	0	0	0	0	0	2	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	1	1	-1	1	1
